file,line,type,commit,author,date,time,timezone,datetime,depth,length
index.js,61,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,0
index.js,62,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,0
index.html,1,html,57fd538,Arcilios,2025-04-02,21:07:26,-07:00,2025-04-02T21:07:26-07:00,0,14
index.html,2,html,57fd538,Arcilios,2025-04-02,21:07:26,-07:00,2025-04-02T21:07:26-07:00,0,15
index.html,3,html,57fd538,Arcilios,2025-04-02,21:07:26,-07:00,2025-04-02T21:07:26-07:00,0,5
index.html,4,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,23
index.html,5,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,71
index.html,6,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,53
index.html,7,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,42
index.html,8,html,57fd538,Arcilios,2025-04-02,21:07:26,-07:00,2025-04-02T21:07:26-07:00,0,6
index.html,9,html,57fd538,Arcilios,2025-04-02,21:07:26,-07:00,2025-04-02T21:07:26-07:00,0,5
index.html,10,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,18
index.html,11,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,65
index.html,12,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,110
index.html,13,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,0
index.html,14,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,23
index.html,15,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,35
index.html,16,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,31
index.html,17,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,26
index.html,18,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,35
index.html,19,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,9
index.html,20,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,0
index.html,21,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,45
index.html,22,html,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,28
